date,open,high,low,close,preclose,volume,amount,pctChg,return_1d,ma5,ma20,volatility_20d
2019-05-24,3584.901,3623.39,3580.785,3593.913,3583.964,8093404928,101337497600.0,0.2776,0.0027759765444073103,3622.3648000000003,3731.1564,0.01996361010661125
2019-05-27,3592.602,3648.026,3556.256,3637.197,3593.913,10883087104,133399052288.0,1.2044,0.012043697218046212,3626.2457999999997,3711.51185,0.02026855037913698
2019-05-28,3633.018,3683.23,3627.787,3672.26,3637.197,11788624128,148966334464.0,0.964,0.009640115726478493,3627.3426,3698.0340500000007,0.020103907894832403
2019-05-29,3642.541,3693.227,3637.348,3663.909,3672.26,9335544064,120002035712.0,-0.2274,-0.0022740764542815706,3630.2486000000004,3686.7658,0.019966335191971833
2019-05-30,3648.849,3650.971,3612.624,3641.183,3663.909,9420256000,112864079872.0,-0.6203,-0.006202664967934535,3641.6924,3673.8082999999997,0.019934478968932395
2019-05-31,3640.996,3668.179,3627.544,3629.789,3641.183,8922226688,108264202240.0,-0.3129,-0.003129202789313168,3648.8676,3659.6371999999997,0.01987517266677594
2019-06-03,3640.612,3672.813,3613.127,3632.012,3629.789,10072317952,123902447616.0,0.0612,0.0006124322928964254,3647.8306,3657.007,0.015113027230806908
2019-06-04,3632.56,3636.128,3584.461,3598.466,3632.012,8709709312,109467238400.0,-0.9236,-0.009236202964087226,3633.0718,3650.8968999999997,0.015022645109530405
2019-06-05,3627.794,3634.453,3593.951,3597.105,3598.466,8864201984,114634227712.0,-0.0378,-0.0003782167179013918,3619.7110000000002,3647.3792999999996,0.01472077936892501
2019-06-06,3601.035,3601.035,3557.016,3564.677,3597.105,8553440256,104367267840.0,-0.9015,-0.009015027362281547,3604.4098,3645.6281500000005,0.014270260017138568
2019-06-10,3578.008,3623.73,3568.278,3610.743,3564.677,9237506048,117346607104.0,1.2923,0.012922909985953801,3600.6006,3639.64275,0.011856764768106853
2019-06-11,3617.523,3723.141,3617.523,3719.275,3610.743,14348280576,180899074048.0,3.0058,0.030058079458992193,3618.0532,3642.17025,0.013254241538873019
2019-06-12,3706.863,3711.879,3683.939,3691.095,3719.275,11917885184,132296097792.0,-0.7577,-0.007576745467866797,3636.579,3644.4675,0.013289565441564923
2019-06-13,3689.583,3697.591,3654.274,3685.393,3691.095,9633171712,110459904000.0,-0.1545,-0.0015447990366002085,3654.2366,3642.38255,0.012264512768303735
2019-06-14,3690.476,3709.652,3650.909,3654.879,3685.393,10181700352,116584259584.0,-0.828,-0.00827971399522387,3672.2770000000005,3637.9283499999997,0.012322917897227198
2019-06-17,3654.443,3683.774,3645.498,3654.824,3654.879,7297667840,93092581376.0,-0.0015,-1.5048377798532186e-05,3681.0932000000003,3638.2315499999995,0.01091557035246388
2019-06-18,3661.129,3675.645,3638.78,3667.618,3654.824,7069226496,89472839680.0,0.3501,0.0035005789608473226,3670.7618,3640.7228499999997,0.010744743441656865
